,SOC code,RiskOfAutomation
69,11-1011,0.015
194,11-1021,0.16
123,11-2011,0.039
60,11-2021,0.014
58,11-2022,0.013
66,11-2031,0.015
400,11-3011,0.73
117,11-3021,0.035
151,11-3031,0.069
106,11-3051,0.03
327,11-3071,0.59
629,11-3111,0.96
27,11-3121,0.0055
29,11-3131,0.0063
136,11-9013,0.047
153,11-9021,0.071
70,11-9031,0.015
21,11-9032,0.0046
51,11-9033,0.01
77,11-9041,0.017
161,11-9051,0.083
164,11-9071,0.091
11,11-9081,0.0039
35,11-9111,0.0073
79,11-9121,0.018
445,11-9141,0.81
32,11-9151,0.0067
2,11-9161,0.003
225,11-9199,0.25
219,13-1011,0.24
505,13-1021,0.87
236,13-1022,0.29
422,13-1023,0.77
674,13-1031,0.98
684,13-1032,0.98
158,13-1041,0.08
320,13-1051,0.57
648,13-1074,0.97
241,13-1078,0.31
54,13-1081,0.012
181,13-1111,0.13
120,13-1121,0.037
285,13-1141,0.47
63,13-1151,0.014
336,13-1161,0.61
215,13-1199,0.23
588,13-2011,0.94
540,13-2021,0.9
593,13-2031,0.94
676,13-2041,0.98
216,13-2051,0.23
323,13-2052,0.58
697,13-2053,0.99
197,13-2061,0.17
125,13-2071,0.04
685,13-2072,0.98
585,13-2081,0.93
694,13-2082,0.99
244,13-2099,0.33
68,15-1111,0.015
31,15-1121,0.0065
292,15-1131,0.48
129,15-1132,0.042
180,15-1133,0.13
109,15-1141,0.03
108,15-1142,0.03
358,15-1150,0.65
207,15-1179,0.21
211,15-1799,0.22
208,15-2011,0.21
134,15-2021,0.047
116,15-2031,0.035
212,15-2041,0.22
698,15-2091,0.99
81,17-1011,0.018
132,17-1012,0.045
514,17-1021,0.88
261,17-1022,0.38
78,17-2011,0.017
294,17-2021,0.49
119,17-2031,0.037
76,17-2041,0.017
83,17-2051,0.019
213,17-2061,0.22
171,17-2071,0.1
97,17-2072,0.025
80,17-2081,0.018
102,17-2111,0.028
103,17-2112,0.029
50,17-2121,0.01
87,17-2131,0.021
52,17-2141,0.011
188,17-2151,0.14
152,17-2161,0.07
192,17-2171,0.16
62,17-2199,0.014
304,17-3011,0.52
442,17-3012,0.81
377,17-3013,0.68
289,17-3021,0.48
412,17-3022,0.75
473,17-3023,0.84
443,17-3024,0.81
224,17-3025,0.25
107,17-3026,0.03
262,17-3027,0.38
220,17-3029,0.24
634,17-3031,0.96
146,19-1011,0.061
157,19-1012,0.077
85,19-1013,0.021
98,19-1021,0.027
55,19-1022,0.012
239,19-1023,0.3
65,19-1029,0.015
74,19-1031,0.016
42,19-1032,0.0081
205,19-1041,0.2
20,19-1042,0.0045
127,19-2011,0.041
174,19-2012,0.1
370,19-2021,0.67
172,19-2031,0.1
86,19-2032,0.021
110,19-2041,0.03
112,19-2041,0.033
345,19-2042,0.63
59,19-2043,0.014
280,19-2099,0.43
281,19-3011,0.43
214,19-3022,0.23
23,19-3031,0.0047
56,19-3032,0.012
16,19-3039,0.0043
144,19-3041,0.059
183,19-3051,0.13
38,19-3091,0.0077
221,19-3092,0.25
282,19-3093,0.44
124,19-3094,0.039
126,19-3099,0.04
664,19-4011,0.97
237,19-4021,0.3
318,19-4031,0.57
556,19-4041,0.91
488,19-4051,0.85
356,19-4061,0.65
418,19-4091,0.77
48,19-4092,0.0095
277,19-4093,0.42
339,19-4099,0.61
113,21-1011,0.033
43,21-1012,0.0085
61,21-1013,0.014
24,21-1014,0.0048
46,21-1015,0.0094
101,21-1021,0.028
7,21-1022,0.0035
3,21-1023,0.0031
133,21-1091,0.045
223,21-1092,0.25
184,21-1093,0.13
41,21-2011,0.0081
96,21-2021,0.025
114,23-1011,0.035
275,23-1012,0.41
352,23-1021,0.64
145,23-1022,0.06
270,23-1023,0.4
608,23-2011,0.94
300,23-2091,0.5
700,23-2093,0.99
111,25-1000,0.032
36,25-2011,0.0074
190,25-2012,0.15
19,25-2021,0.0044
199,25-2022,0.17
228,25-2023,0.26
40,25-2031,0.0078
44,25-2032,0.0088
75,25-2053,0.016
39,25-2054,0.0077
204,25-3011,0.19
185,25-3021,0.13
47,25-3999,0.0095
414,25-4011,0.76
33,25-4012,0.0068
325,25-4013,0.59
359,25-4021,0.65
691,25-4031,0.99
269,25-9011,0.39
37,25-9021,0.0075
15,25-9031,0.0042
316,25-9041,0.56
94,27-1011,0.023
115,27-1012,0.035
130,27-1013,0.042
67,27-1014,0.015
118,27-1021,0.037
88,27-1022,0.021
135,27-1023,0.047
160,27-1024,0.082
92,27-1025,0.022
290,27-1026,0.48
26,27-1027,0.0055
258,27-2011,0.37
91,27-2012,0.022
233,27-2021,0.28
57,27-2022,0.013
683,27-2023,0.98
178,27-2031,0.13
12,27-2032,0.004
71,27-2041,0.015
154,27-2042,0.074
170,27-3011,0.1
398,27-3012,0.72
150,27-3021,0.067
176,27-3022,0.11
200,27-3031,0.18
139,27-3041,0.055
525,27-3042,0.89
122,27-3043,0.038
264,27-3091,0.38
315,27-4011,0.55
406,27-4012,0.74
672,27-4013,0.98
186,27-4014,0.13
90,27-4021,0.021
331,27-4031,0.6
243,27-4032,0.31
99,29-1011,0.027
18,29-1021,0.0044
8,29-1022,0.0036
93,29-1023,0.023
140,29-1024,0.055
10,29-1031,0.0039
187,29-1041,0.14
53,29-1051,0.012
14,29-1060,0.0042
189,29-1071,0.14
22,29-1081,0.0046
45,29-1111,0.009
5,29-1122,0.0035
89,29-1123,0.021
247,29-1124,0.34
0,29-1125,0.0028
149,29-1126,0.066
30,29-1127,0.0064
121,29-1131,0.038
4,29-1181,0.0033
84,29-1199,0.02
532,29-2011,0.9
287,29-2012,0.47
378,29-2021,0.68
218,29-2031,0.23
250,29-2032,0.35
179,29-2033,0.13
217,29-2037,0.23
138,29-2041,0.049
182,29-2051,0.13
561,29-2052,0.92
131,29-2053,0.043
173,29-2054,0.1
246,29-2055,0.34
105,29-2056,0.029
143,29-2061,0.058
549,29-2071,0.91
390,29-2081,0.71
6,29-2091,0.0035
272,29-2799,0.4
195,29-9011,0.17
222,29-9012,0.25
34,29-9091,0.0071
141,29-9799,0.055
265,31-1011,0.39
286,31-1013,0.47
100,31-2011,0.028
230,31-2012,0.27
82,31-2021,0.018
334,31-2022,0.61
310,31-9011,0.54
302,31-9091,0.51
238,31-9092,0.3
425,31-9093,0.78
522,31-9094,0.89
393,31-9095,0.72
494,31-9096,0.86
347,31-9799,0.63
95,33-1011,0.025
17,33-1012,0.0044
9,33-1021,0.0036
196,33-2011,0.17
288,33-2021,0.48
137,33-2022,0.048
251,33-3011,0.36
330,33-3012,0.6
245,33-3021,0.34
159,33-3031,0.08
481,33-3041,0.84
166,33-3051,0.098
321,33-3052,0.57
209,33-9011,0.21
242,33-9021,0.31
614,33-9031,0.95
477,33-9032,0.84
293,33-9091,0.49
372,33-9092,0.67
168,35-1011,0.1
348,35-1012,0.63
440,35-2011,0.81
459,35-2012,0.83
240,35-2013,0.3
640,35-2014,0.96
600,35-2015,0.94
507,35-2021,0.87
421,35-3011,0.77
570,35-3021,0.92
631,35-3022,0.96
591,35-3031,0.94
491,35-3041,0.86
554,35-9011,0.91
423,35-9021,0.77
667,35-9031,0.97
606,37-1011,0.94
322,37-1012,0.57
366,37-2011,0.66
380,37-2012,0.69
363,37-2021,0.66
622,37-3011,0.95
653,37-3012,0.97
420,37-3013,0.77
234,39-1011,0.28
309,39-1012,0.54
156,39-1021,0.076
169,39-2011,0.1
451,39-2021,0.82
638,39-3011,0.96
543,39-3012,0.91
658,39-3021,0.97
641,39-3031,0.96
392,39-3091,0.72
335,39-3092,0.61
279,39-3093,0.43
307,39-4011,0.54
256,39-4021,0.37
206,39-4831,0.2
438,39-5011,0.8
175,39-5012,0.11
49,39-5091,0.01
609,39-5092,0.95
431,39-5093,0.79
235,39-5094,0.29
468,39-6011,0.83
210,39-6012,0.21
545,39-7011,0.91
142,39-7012,0.057
162,39-9011,0.084
405,39-9021,0.74
163,39-9031,0.085
28,39-9032,0.0061
147,39-9041,0.064
232,41-1011,0.28
155,41-1012,0.075
656,41-2011,0.97
469,41-2012,0.83
660,41-2021,0.97
675,41-2022,0.98
569,41-2031,0.92
311,41-3011,0.54
564,41-3021,0.92
73,41-3031,0.016
167,41-3041,0.099
227,41-4011,0.25
483,41-4012,0.85
301,41-9011,0.51
668,41-9012,0.98
662,41-9021,0.97
496,41-9022,0.86
13,41-9031,0.0041
701,41-9041,0.99
605,41-9091,0.94
64,43-1011,0.014
630,43-2011,0.96
663,43-2021,0.97
612,43-3011,0.95
642,43-3021,0.96
670,43-3031,0.98
268,43-3041,0.39
665,43-3051,0.97
679,43-3061,0.98
682,43-3071,0.98
687,43-4011,0.98
499,43-4021,0.86
284,43-4031,0.46
666,43-4041,0.97
314,43-4051,0.55
382,43-4061,0.7
661,43-4071,0.97
603,43-4081,0.94
599,43-4111,0.94
615,43-4121,0.95
562,43-4131,0.92
692,43-4141,0.99
686,43-4151,0.98
531,43-4161,0.9
627,43-4171,0.96
337,43-4181,0.61
695,43-5011,0.99
598,43-5021,0.94
297,43-5031,0.49
626,43-5032,0.96
484,43-5041,0.85
624,43-5051,0.95
374,43-5052,0.68
429,43-5053,0.79
512,43-5061,0.88
678,43-5071,0.98
353,43-5081,0.64
610,43-5111,0.95
489,43-6011,0.86
671,43-6012,0.98
446,43-6013,0.81
633,43-6014,0.96
427,43-9011,0.78
690,43-9021,0.99
441,43-9022,0.81
193,43-9031,0.16
688,43-9041,0.98
590,43-9051,0.94
628,43-9061,0.96
560,43-9071,0.92
480,43-9081,0.84
365,43-9111,0.66
317,45-1011,0.57
607,45-2011,0.94
618,45-2021,0.95
273,45-2041,0.41
500,45-2090,0.87
455,45-3011,0.83
424,45-3021,0.77
501,45-4011,0.87
417,45-4021,0.76
436,45-4022,0.79
654,45-4023,0.97
198,47-1011,0.17
376,47-2011,0.68
454,47-2021,0.82
523,47-2022,0.89
397,47-2031,0.72
503,47-2041,0.87
437,47-2042,0.79
508,47-2043,0.87
409,47-2044,0.75
594,47-2051,0.94
518,47-2053,0.88
511,47-2061,0.88
471,47-2071,0.83
453,47-2072,0.82
616,47-2073,0.95
432,47-2081,0.79
343,47-2082,0.62
191,47-2111,0.15
401,47-2121,0.73
464,47-2131,0.83
355,47-2132,0.64
410,47-2141,0.75
504,47-2142,0.87
344,47-2151,0.62
248,47-2152,0.35
474,47-2161,0.84
533,47-2171,0.9
534,47-2181,0.9
452,47-2211,0.82
456,47-2221,0.83
462,47-3011,0.83
572,47-3012,0.92
407,47-3013,0.74
602,47-3014,0.94
319,47-3015,0.57
394,47-3016,0.72
349,47-4011,0.63
267,47-4021,0.39
567,47-4031,0.92
306,47-4041,0.53
510,47-4051,0.87
527,47-4061,0.89
467,47-4071,0.83
463,47-4091,0.83
389,47-4799,0.71
439,47-5011,0.8
305,47-5012,0.53
575,47-5013,0.93
487,47-5021,0.85
291,47-5031,0.48
308,47-5041,0.54
326,47-5042,0.59
632,47-5051,0.96
295,47-5061,0.49
375,47-5071,0.68
257,47-5081,0.37
1,49-1011,0.003
404,49-2011,0.74
581,49-2021,0.93
253,49-2022,0.36
385,49-2091,0.7
416,49-2092,0.76
553,49-2093,0.91
276,49-2094,0.41
260,49-2095,0.38
333,49-2096,0.61
360,49-2097,0.65
449,49-2098,0.82
386,49-3011,0.71
557,49-3021,0.91
312,49-3022,0.55
329,49-3023,0.59
403,49-3031,0.73
413,49-3041,0.75
271,49-3042,0.4
520,49-3043,0.88
367,49-3051,0.66
434,49-3052,0.79
577,49-3053,0.93
595,49-3091,0.94
328,49-3092,0.59
383,49-3093,0.7
546,49-9011,0.91
346,49-9012,0.63
361,49-9021,0.65
396,49-9031,0.72
373,49-9041,0.67
498,49-9043,0.86
324,49-9044,0.59
450,49-9045,0.82
165,49-9051,0.097
296,49-9052,0.49
657,49-9061,0.97
231,49-9062,0.27
544,49-9063,0.91
696,49-9064,0.99
351,49-9071,0.64
596,49-9091,0.94
201,49-9092,0.18
639,49-9093,0.96
419,49-9094,0.77
202,49-9095,0.18
526,49-9096,0.89
542,49-9097,0.9
433,49-9098,0.79
299,49-9799,0.5
72,51-1011,0.016
435,51-2011,0.79
402,51-2021,0.73
620,51-2022,0.95
647,51-2023,0.97
448,51-2031,0.82
274,51-2041,0.41
574,51-2091,0.93
645,51-2092,0.97
689,51-2093,0.98
521,51-3011,0.89
582,51-3021,0.93
592,51-3022,0.94
332,51-3023,0.6
547,51-3091,0.91
384,51-3092,0.7
340,51-3093,0.61
497,51-4011,0.86
252,51-4012,0.36
559,51-4021,0.91
586,51-4022,0.93
470,51-4023,0.83
426,51-4031,0.78
589,51-4032,0.94
623,51-4033,0.95
476,51-4034,0.84
677,51-4035,0.98
357,51-4041,0.65
515,51-4051,0.88
502,51-4052,0.87
580,51-4061,0.93
538,51-4062,0.9
369,51-4071,0.67
619,51-4072,0.95
551,51-4081,0.91
472,51-4111,0.84
597,51-4121,0.94
341,51-4122,0.61
555,51-4191,0.91
475,51-4192,0.84
568,51-4193,0.92
519,51-4194,0.88
659,51-5111,0.97
465,51-5112,0.83
617,51-5113,0.95
391,51-6011,0.71
447,51-6021,0.81
529,51-6031,0.89
303,51-6041,0.52
646,51-6042,0.97
699,51-6051,0.99
478,51-6052,0.84
649,51-6061,0.97
611,51-6062,0.95
399,51-6063,0.73
636,51-6064,0.96
517,51-6091,0.88
25,51-6092,0.0049
266,51-6093,0.39
565,51-7011,0.92
506,51-7021,0.87
635,51-7031,0.96
558,51-7032,0.91
492,51-7041,0.86
644,51-7042,0.97
613,51-8011,0.95
354,51-8012,0.64
485,51-8013,0.85
528,51-8021,0.89
338,51-8031,0.61
486,51-8091,0.85
428,51-8092,0.78
388,51-8093,0.71
490,51-8099,0.86
415,51-9011,0.76
516,51-9012,0.88
651,51-9021,0.97
652,51-9022,0.97
461,51-9023,0.83
350,51-9031,0.64
495,51-9032,0.86
583,51-9041,0.93
254,51-9051,0.37
669,51-9061,0.98
625,51-9071,0.95
650,51-9081,0.97
283,51-9082,0.45
655,51-9083,0.97
680,51-9111,0.98
550,51-9121,0.91
381,51-9122,0.69
566,51-9123,0.92
513,51-9141,0.88
693,51-9151,0.99
621,51-9191,0.95
444,51-9192,0.81
573,51-9193,0.93
681,51-9194,0.98
539,51-9195,0.9
368,51-9196,0.67
604,51-9197,0.94
364,51-9198,0.66
571,51-9399,0.92
148,53-1011,0.066
278,53-1021,0.42
104,53-1031,0.029
203,53-2011,0.18
313,53-2012,0.55
177,53-2021,0.11
387,53-2022,0.71
249,53-2031,0.35
226,53-3011,0.25
371,53-3021,0.67
524,53-3022,0.89
673,53-3031,0.98
430,53-3032,0.79
379,53-3033,0.69
530,53-3041,0.89
637,53-4011,0.96
578,53-4012,0.93
552,53-4013,0.91
457,53-4021,0.83
458,53-4031,0.83
493,53-4041,0.86
460,53-5011,0.83
229,53-5021,0.27
342,53-5022,0.62
128,53-5031,0.041
643,53-6011,0.97
509,53-6021,0.87
466,53-6031,0.83
536,53-6041,0.9
537,53-6051,0.9
411,53-6061,0.75
576,53-7011,0.93
535,53-7021,0.9
563,53-7031,0.92
601,53-7032,0.94
298,53-7033,0.5
362,53-7041,0.65
587,53-7051,0.93
255,53-7061,0.37
482,53-7062,0.85
579,53-7063,0.93
263,53-7064,0.38
548,53-7071,0.91
541,53-7072,0.9
479,53-7073,0.84
584,53-7081,0.93
259,53-7111,0.37
395,53-7121,0.72
