,SOC code,Wage_BLS
0,00-0000,36200
1,11-0000,98560
2,11-1000,100940
3,11-1010,175110
4,11-1011,175110
5,11-1020,97730
6,11-1021,97730
7,11-1030,20500
8,11-1031,20500
9,11-2000,116810
10,11-2010,95890
11,11-2011,95890
12,11-2020,119280
13,11-2021,128750
14,11-2022,113860
15,11-2030,104140
16,11-2031,104140
17,11-3000,108260
18,11-3010,86110
19,11-3011,86110
20,11-3020,131600
21,11-3021,131600
22,11-3030,117990
23,11-3031,117990
24,11-3050,93940
25,11-3051,93940
26,11-3060,108120
27,11-3061,108120
28,11-3070,86630
29,11-3071,86630
30,11-3110,111430
31,11-3111,111430
32,11-3120,104440
33,11-3121,104440
34,11-3130,102640
35,11-3131,102640
36,11-9000,85880
37,11-9010,64170
38,11-9013,64170
39,11-9020,87400
40,11-9021,87400
41,11-9030,85290
42,11-9031,45670
43,11-9032,90410
44,11-9033,88580
45,11-9039,76930
46,11-9040,132800
47,11-9041,132800
48,11-9050,48690
49,11-9051,48690
50,11-9060,70890
51,11-9061,70890
52,11-9070,68380
53,11-9071,68380
54,11-9080,49720
55,11-9081,49720
56,11-9110,94500
57,11-9111,94500
58,11-9120,120160
59,11-9121,120160
60,11-9130,70640
61,11-9131,70640
62,11-9140,55380
63,11-9141,55380
64,11-9150,63530
65,11-9151,63530
66,11-9160,67330
67,11-9161,67330
68,11-9190,104850
69,11-9199,104850
70,13-0000,65710
71,13-1000,64510
72,13-1010,62940
73,13-1011,62940
74,13-1020,59620
75,13-1021,56270
76,13-1022,52940
77,13-1023,62220
78,13-1030,63060
79,13-1031,62980
80,13-1032,64020
81,13-1040,65640
82,13-1041,65640
83,13-1050,60390
84,13-1051,60390
85,13-1070,58370
86,13-1071,58350
87,13-1074,30910
88,13-1075,58820
89,13-1080,74260
90,13-1081,74260
91,13-1110,81320
92,13-1111,81320
93,13-1120,46840
94,13-1121,46840
95,13-1130,52970
96,13-1131,52970
97,13-1140,60850
98,13-1141,60850
99,13-1150,58210
100,13-1151,58210
101,13-1160,62150
102,13-1161,62150
103,13-1190,68170
104,13-1199,68170
105,13-2000,67740
106,13-2010,67190
107,13-2011,67190
108,13-2020,51860
109,13-2021,51860
110,13-2030,71590
111,13-2031,71590
112,13-2040,69680
113,13-2041,69680
114,13-2050,79350
115,13-2051,80310
116,13-2052,89160
117,13-2053,65040
118,13-2060,78010
119,13-2061,78010
120,13-2070,60910
121,13-2071,43840
122,13-2072,63430
123,13-2080,44840
124,13-2081,51430
125,13-2082,36450
126,13-2090,66670
127,13-2099,66670
128,15-0000,81430
129,15-1100,81430
130,15-1110,110620
131,15-1111,110620
132,15-1120,86370
133,15-1121,85800
134,15-1122,90120
135,15-1130,94080
136,15-1131,79530
137,15-1132,98260
138,15-1133,105570
139,15-1134,64970
140,15-1140,82780
141,15-1141,81710
142,15-1142,77810
143,15-1143,100240
144,15-1150,51470
145,15-1151,48620
146,15-1152,62250
147,15-1190,85240
148,15-1199,85240
149,15-2000,81360
150,15-2010,97070
151,15-2011,97070
152,15-2020,111110
153,15-2021,111110
154,15-2030,78630
155,15-2031,78630
156,15-2040,80110
157,15-2041,80110
158,15-2090,58580
159,15-2091,46600
160,15-2099,66210
161,17-0000,76870
162,17-1000,69130
163,17-1010,74040
164,17-1011,76100
165,17-1012,63810
166,17-1020,58920
167,17-1021,61880
168,17-1022,58020
169,17-2000,90060
170,17-2010,107830
171,17-2011,107830
172,17-2020,75090
173,17-2021,75090
174,17-2030,86220
175,17-2031,86220
176,17-2040,97360
177,17-2041,97360
178,17-2050,82220
179,17-2051,82220
180,17-2060,111730
181,17-2061,111730
182,17-2070,95230
183,17-2071,93010
184,17-2072,98270
185,17-2080,84560
186,17-2081,84560
187,17-2110,83570
188,17-2111,84600
189,17-2112,83470
190,17-2120,93110
191,17-2121,93110
192,17-2130,91310
193,17-2131,91310
194,17-2140,83590
195,17-2141,83590
196,17-2150,94040
197,17-2151,94040
198,17-2160,102950
199,17-2161,102950
200,17-2170,129990
201,17-2171,129990
202,17-2190,95900
203,17-2199,95900
204,17-3000,54140
205,17-3010,52720
206,17-3011,50710
207,17-3012,59520
208,17-3013,53520
209,17-3019,49650
210,17-3020,56450
211,17-3021,66180
212,17-3022,49260
213,17-3023,61130
214,17-3024,53340
215,17-3025,48650
216,17-3026,53780
217,17-3027,53910
218,17-3029,61260
219,17-3030,42010
220,17-3031,42010
221,19-0000,62160
222,19-1000,72090
223,19-1010,62470
224,19-1011,60390
225,19-1012,65840
226,19-1013,60050
227,19-1020,72220
228,19-1021,82150
229,19-1022,67550
230,19-1023,59680
231,19-1029,75150
232,19-1030,60220
233,19-1031,61110
234,19-1032,58230
235,19-1040,81060
236,19-1041,69450
237,19-1042,82240
238,19-1090,70550
239,19-1099,70550
240,19-2000,76140
241,19-2010,110980
242,19-2011,104100
243,19-2012,111580
244,19-2020,89820
245,19-2021,89820
246,19-2030,72610
247,19-2031,71260
248,19-2032,91000
249,19-2040,71740
250,19-2041,67460
251,19-2042,89700
252,19-2043,79550
253,19-2090,97130
254,19-2099,97130
255,19-3000,72570
256,19-3010,99180
257,19-3011,99180
258,19-3020,53920
259,19-3022,53920
260,19-3030,72580
261,19-3031,70580
262,19-3032,77350
263,19-3039,94590
264,19-3040,73760
265,19-3041,73760
266,19-3050,68220
267,19-3051,68220
268,19-3090,74640
269,19-3091,61220
270,19-3092,74260
271,19-3093,55800
272,19-3094,99730
273,19-3099,76380
274,19-4000,43490
275,19-4010,36480
276,19-4011,36480
277,19-4020,41650
278,19-4021,41650
279,19-4030,44660
280,19-4031,44660
281,19-4040,55610
282,19-4041,55610
283,19-4050,80260
284,19-4051,80260
285,19-4060,42480
286,19-4061,42480
287,19-4090,43520
288,19-4091,43030
289,19-4092,56320
290,19-4093,35430
291,19-4099,45300
292,21-0000,42010
293,21-1000,42030
294,21-1010,45160
295,21-1011,39980
296,21-1012,53660
297,21-1013,48600
298,21-1014,41880
299,21-1015,34390
300,21-1019,45530
301,21-1020,45900
302,21-1021,42350
303,21-1022,52380
304,21-1023,42170
305,21-1029,58560
306,21-1090,36110
307,21-1091,51960
308,21-1092,49360
309,21-1093,30830
310,21-1094,36300
311,21-1099,41890
312,21-2000,41550
313,21-2010,44250
314,21-2011,44250
315,21-2020,38780
316,21-2021,38780
317,21-2090,28750
318,21-2099,28750
319,23-0000,78170
320,23-1000,113120
321,23-1010,114280
322,23-1011,115820
323,23-1012,50740
324,23-1020,99870
325,23-1021,90600
326,23-1022,58020
327,23-1023,126930
328,23-2000,48680
329,23-2010,48810
330,23-2011,48810
331,23-2090,48310
332,23-2091,49500
333,23-2093,44370
334,23-2099,53920
335,25-0000,47220
336,25-1000,64450
337,25-1010,75370
338,25-1011,75370
339,25-1020,69990
340,25-1021,74840
341,25-1022,67170
342,25-1030,91610
343,25-1031,73920
344,25-1032,95060
345,25-1040,77960
346,25-1041,90780
347,25-1042,75320
348,25-1043,88270
349,25-1050,79020
350,25-1051,83150
351,25-1052,75060
352,25-1053,78770
353,25-1054,82840
354,25-1060,73490
355,25-1061,77650
356,25-1062,72300
357,25-1063,94000
358,25-1064,75400
359,25-1065,76370
360,25-1066,70260
361,25-1067,69230
362,25-1069,67490
363,25-1070,81470
364,25-1071,90840
365,25-1072,67480
366,25-1080,62040
367,25-1081,61560
368,25-1082,67660
369,25-1110,69240
370,25-1111,58770
371,25-1112,105250
372,25-1113,63390
373,25-1120,64120
374,25-1121,65340
375,25-1122,63410
376,25-1123,61990
377,25-1124,61380
378,25-1125,69400
379,25-1126,66380
380,25-1190,47780
381,25-1191,30810
382,25-1192,64950
383,25-1193,59280
384,25-1194,49470
385,25-1199,63000
386,25-2000,53860
387,25-2010,34330
388,25-2011,28570
389,25-2012,51640
390,25-2020,55200
391,25-2021,54890
392,25-2022,55860
393,25-2023,55190
394,25-2030,57110
395,25-2031,57200
396,25-2032,56130
397,25-2050,56610
398,25-2051,53990
399,25-2052,55810
400,25-2053,57280
401,25-2054,58500
402,25-2059,53920
403,25-3000,30760
404,25-3010,50280
405,25-3011,50280
406,25-3020,36680
407,25-3021,36680
408,25-3090,28960
409,25-3097,40140
410,25-3098,26830
411,25-4000,45960
412,25-4010,46710
413,25-4011,50250
414,25-4012,51520
415,25-4013,40340
416,25-4020,56880
417,25-4021,56880
418,25-4030,32310
419,25-4031,32310
420,25-9000,26970
421,25-9010,45890
422,25-9011,45890
423,25-9020,49190
424,25-9021,49190
425,25-9030,62270
426,25-9031,62270
427,25-9040,24900
428,25-9041,24900
429,25-9090,40380
430,25-9099,40380
431,27-0000,46160
432,27-1000,43950
433,27-1010,67620
434,27-1011,89760
435,27-1012,30720
436,27-1013,46460
437,27-1014,63970
438,27-1019,58450
439,27-1020,40530
440,27-1021,67130
441,27-1022,63670
442,27-1023,25010
443,27-1024,46900
444,27-1025,48840
445,27-1026,26870
446,27-1027,49530
447,27-1029,53280
448,27-2000,40030
449,27-2010,60480
451,27-2012,68440
452,27-2020,31010
453,27-2021,44680
454,27-2022,31000
455,27-2023,24870
456,27-2030,35050
458,27-2032,45940
460,27-2041,49820
464,27-3000,53530
465,27-3010,30080
466,27-3011,30960
467,27-3012,26930
468,27-3020,37720
469,27-3021,65530
470,27-3022,36360
471,27-3030,56770
472,27-3031,56770
473,27-3040,60820
474,27-3041,56010
475,27-3042,70240
476,27-3043,60250
477,27-3090,44480
478,27-3091,44190
479,27-3099,45220
480,27-4000,43480
481,27-4010,41860
482,27-4011,41440
483,27-4012,37490
484,27-4013,50040
485,27-4014,53330
486,27-4020,31710
487,27-4021,31710
488,27-4030,55740
489,27-4031,49080
490,27-4032,61750
491,27-4090,70590
492,27-4099,70590
493,29-0000,62610
494,29-1000,76760
495,29-1010,64440
496,29-1011,64440
497,29-1020,158310
498,29-1021,152700
501,29-1024,119740
502,29-1029,171000
503,29-1030,57910
504,29-1031,57910
505,29-1040,103900
506,29-1041,103900
507,29-1050,121500
508,29-1051,121500
511,29-1062,184390
514,29-1065,170300
518,29-1070,98180
519,29-1071,98180
520,29-1080,119340
521,29-1081,119340
522,29-1120,73900
523,29-1122,80150
524,29-1123,84020
525,29-1124,80220
526,29-1125,45890
527,29-1126,57790
528,29-1127,73410
529,29-1128,47010
530,29-1129,56010
531,29-1130,88490
532,29-1131,88490
533,29-1140,67490
534,29-1141,67490
535,29-1150,157140
536,29-1151,157140
537,29-1160,92510
538,29-1161,92510
539,29-1170,98190
540,29-1171,98190
541,29-1180,74890
542,29-1181,74890
543,29-1190,74710
544,29-1199,74710
545,29-2000,42190
546,29-2010,50550
547,29-2011,60520
548,29-2012,38970
549,29-2020,72330
550,29-2021,72330
551,29-2030,60400
552,29-2031,54880
553,29-2032,68970
554,29-2033,73360
555,29-2034,56670
556,29-2035,67720
557,29-2040,31980
558,29-2041,31980
559,29-2050,32680
560,29-2051,26040
561,29-2052,30410
562,29-2053,31140
563,29-2054,48490
564,29-2055,44330
565,29-2056,31800
566,29-2057,35350
567,29-2060,43170
568,29-2061,43170
569,29-2070,37110
570,29-2071,37110
571,29-2080,34840
572,29-2081,34840
573,29-2090,42730
574,29-2091,64430
575,29-2092,49600
576,29-2099,41260
577,29-9000,57990
578,29-9010,65920
579,29-9011,70210
580,29-9012,48070
581,29-9090,47090
582,29-9091,44670
583,29-9092,72090
584,29-9099,48270
585,31-0000,27040
586,31-1000,24040
587,31-1010,24040
588,31-1011,21920
589,31-1013,26190
590,31-1014,25710
591,31-1015,25580
592,31-2000,46720
593,31-2010,54520
594,31-2011,57870
595,31-2012,27800
596,31-2020,42980
597,31-2021,55170
598,31-2022,25120
599,31-9000,32210
600,31-9010,38040
601,31-9011,38040
602,31-9090,31950
603,31-9091,35980
604,31-9092,30590
605,31-9093,33330
606,31-9094,34890
607,31-9095,24450
608,31-9096,24360
609,31-9097,31630
610,31-9099,35780
611,33-0000,37730
612,33-1000,66060
613,33-1010,75250
614,33-1011,59720
615,33-1012,82090
616,33-1020,72230
617,33-1021,72230
618,33-1090,46900
619,33-1099,46900
620,33-2000,47250
621,33-2010,46870
622,33-2011,46870
623,33-2020,54790
624,33-2021,56730
625,33-2022,36650
626,33-3000,52070
627,33-3010,40580
628,33-3011,41670
629,33-3012,40530
630,33-3020,77210
631,33-3021,77210
632,33-3030,52780
633,33-3031,52780
634,33-3040,36530
635,33-3041,36530
636,33-3050,58330
637,33-3051,58320
638,33-3052,59670
639,33-9000,24870
640,33-9010,33450
641,33-9011,33450
642,33-9020,45610
643,33-9021,45610
644,33-9030,24680
645,33-9031,31170
646,33-9032,24630
647,33-9090,24280
648,33-9091,25100
649,33-9092,19500
650,33-9093,39310
651,33-9099,28650
652,35-0000,19580
653,35-1000,31420
654,35-1010,31420
655,35-1011,41500
656,35-1012,30340
657,35-2000,21310
658,35-2010,21720
659,35-2011,19080
660,35-2012,23960
661,35-2013,26300
662,35-2014,23100
663,35-2015,20780
664,35-2019,26350
665,35-2020,20180
666,35-2021,20180
667,35-3000,19110
668,35-3010,19530
669,35-3011,19530
670,35-3020,18960
671,35-3021,18910
672,35-3022,19230
673,35-3030,19250
674,35-3031,19250
675,35-3040,20420
676,35-3041,20420
677,35-9000,19290
678,35-9010,19280
679,35-9011,19280
680,35-9020,19340
681,35-9021,19340
682,35-9030,19180
683,35-9031,19180
684,35-9090,20380
685,35-9099,20380
686,37-0000,23860
687,37-1000,39440
688,37-1010,39440
689,37-1011,37050
690,37-1012,43980
691,37-2000,22740
692,37-2010,22590
693,37-2011,23440
694,37-2012,20740
695,37-2019,29250
696,37-2020,32160
697,37-2021,32160
698,37-3000,25610
699,37-3010,25610
700,37-3011,25030
701,37-3012,32540
702,37-3013,33500
703,37-3019,29220
704,39-0000,21850
705,39-1000,36840
706,39-1010,46160
707,39-1011,49730
708,39-1012,35680
709,39-1020,35710
710,39-1021,35710
711,39-2000,21260
712,39-2010,26610
713,39-2011,26610
714,39-2020,21010
